,ytt1
1-1,1.3030353939268333
2-1,2.3144818986802425
3-1,2.5177155950421306
4-1,3.498008076393091
5-1,2.8542352517232517
6-1,3.5496981392428206
7-1,2.9608855580204558
8-1,1.9820073748532678
9-1,2.2609283924535291
10-1,2.4085734494470037
11-1,2.5965177251225522
12-1,2.3269033327744366
13-1,2.1700243923154923
14-1,2.4547236641094954
15-1,2.5440426669104639
16-1,2.2492664778568816
17-1,2.4657786473425691
18-1,2.383698760018321
19-1,1.9520744608160023
20-1,2.0625204313413508
21-1,2.2267042930861067
22-1,2.2342131883197802
23-1,2.520081364713711
24-1,2.7116751792837208
25-1,2.5140038853472251
26-1,2.7887398325800183
27-1,2.9016535255822404
28-1,2.8497016588514303
29-1,2.8222679914091855
30-1,2.8535424101599371
31-1,3.0157244401306236
32-1,3.39743740402607
33-1,3.4787615261933857
34-1,3.5926363359951683
35-1,3.6222043384499538
36-1,3.5480745868291317
37-1,3.6670596972962106
38-1,3.6311624171092083
39-1,3.9754493947679848
40-1,4.1143163414370116
41-1,4.0279905797769908
42-1,3.8631083389181895
43-1,3.8938500986034308
44-1,4.0974032753328169
45-1,4.3026678496225168
46-1,4.3331320384430185
47-1,3.9231036581831931
48-1,4.0127593487519189
49-1,3.9472466320740676
50-1,4.2102857957754924
51-1,3.9524895963495488